[13:37:29.167] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:16.846] Namespace(base_lr=0.01, batch_size=8, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_soft_sigma=0.3, cmc_warmup_iter=2000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=1.0, consistency_rampup=40.0, deterministic=1, exp='BCP_CMC_NA_v2_s0.3_smoke', gpu='1', labeled_bs=4, labelnum=4, loss_weight=0.5, magnitude=10.0, mask_ratio=0.6666666666666666, max_samples=80, model='VNet', pre_max_iteration=100, root_path='/home/hjj/ssq/BCP_original/data_split/LA', seed=1337, self_max_iteration=300, u_alpha=2.0, u_weight=0.5)
[13:50:17.399] Start self_training (BCP + NA-CMC V2 Soft Mask 3D)
[13:50:17.400] soft_sigma=0.3 → avg_pool3d 核 5px
[13:50:17.409] 1 iterations per epoch
[13:53:44.564] iteration 39 : loss: 1.168361, bcp: 1.165659, cmc: 0.142213, shared: 0.39, conf_t: 0.87
[13:53:49.789] iteration 40 : loss: 1.171598, bcp: 1.168755, cmc: 0.145794, shared: 0.39, conf_t: 0.87
[13:53:54.930] iteration 41 : loss: 1.127258, bcp: 1.125386, cmc: 0.093596, shared: 0.39, conf_t: 0.87
[13:54:00.076] iteration 42 : loss: 1.217822, bcp: 1.215665, cmc: 0.105195, shared: 0.39, conf_t: 0.87
[13:54:05.144] iteration 43 : loss: 1.055734, bcp: 1.053071, cmc: 0.126787, shared: 0.39, conf_t: 0.87
[13:54:10.266] iteration 44 : loss: 0.922009, bcp: 0.919498, cmc: 0.116787, shared: 0.39, conf_t: 0.87
[13:54:15.226] iteration 45 : loss: 1.029329, bcp: 1.026943, cmc: 0.108487, shared: 0.39, conf_t: 0.87
[13:54:20.615] iteration 46 : loss: 1.095551, bcp: 1.091965, cmc: 0.159358, shared: 0.39, conf_t: 0.87
[13:54:25.430] iteration 47 : loss: 0.840256, bcp: 0.837921, cmc: 0.101551, shared: 0.39, conf_t: 0.87
[13:54:29.884] iteration 48 : loss: 1.071443, bcp: 1.068749, cmc: 0.114611, shared: 0.39, conf_t: 0.87
[13:54:34.870] iteration 49 : loss: 1.044299, bcp: 1.041156, cmc: 0.130978, shared: 0.39, conf_t: 0.87
[13:54:39.555] iteration 50 : loss: 0.981787, bcp: 0.979443, cmc: 0.095657, shared: 0.39, conf_t: 0.87
[13:54:44.655] iteration 51 : loss: 0.982048, bcp: 0.980027, cmc: 0.080863, shared: 0.39, conf_t: 0.87
[13:54:49.419] iteration 52 : loss: 1.148301, bcp: 1.145335, cmc: 0.116295, shared: 0.39, conf_t: 0.87
[13:54:54.723] iteration 53 : loss: 1.053266, bcp: 1.050556, cmc: 0.104247, shared: 0.39, conf_t: 0.87
[13:54:59.760] iteration 54 : loss: 1.059066, bcp: 1.056299, cmc: 0.104393, shared: 0.39, conf_t: 0.86
[13:55:04.769] iteration 55 : loss: 1.029293, bcp: 1.026530, cmc: 0.102335, shared: 0.39, conf_t: 0.86
[13:55:09.901] iteration 56 : loss: 0.862701, bcp: 0.859392, cmc: 0.120338, shared: 0.39, conf_t: 0.86
[13:55:15.000] iteration 57 : loss: 0.969530, bcp: 0.967483, cmc: 0.073127, shared: 0.39, conf_t: 0.86
[13:55:20.267] iteration 58 : loss: 0.928850, bcp: 0.926673, cmc: 0.076385, shared: 0.39, conf_t: 0.86
[13:55:25.216] iteration 59 : loss: 0.958314, bcp: 0.956132, cmc: 0.075245, shared: 0.39, conf_t: 0.86
[13:55:30.235] iteration 60 : loss: 0.978999, bcp: 0.975468, cmc: 0.119715, shared: 0.39, conf_t: 0.86
[13:55:35.061] iteration 61 : loss: 0.940167, bcp: 0.937628, cmc: 0.084628, shared: 0.39, conf_t: 0.86
[13:55:40.033] iteration 62 : loss: 1.069364, bcp: 1.066543, cmc: 0.092502, shared: 0.39, conf_t: 0.86
[13:55:45.061] iteration 63 : loss: 1.000491, bcp: 0.997909, cmc: 0.083294, shared: 0.39, conf_t: 0.86
[13:55:50.107] iteration 64 : loss: 0.973332, bcp: 0.968869, cmc: 0.141663, shared: 0.39, conf_t: 0.86
[13:55:54.845] iteration 65 : loss: 0.918579, bcp: 0.915024, cmc: 0.111082, shared: 0.39, conf_t: 0.86
[13:55:59.904] iteration 66 : loss: 1.151126, bcp: 1.148819, cmc: 0.070972, shared: 0.39, conf_t: 0.86
[13:56:05.180] iteration 67 : loss: 0.957724, bcp: 0.954499, cmc: 0.097750, shared: 0.39, conf_t: 0.86
[13:56:10.014] iteration 68 : loss: 0.801739, bcp: 0.798903, cmc: 0.084650, shared: 0.39, conf_t: 0.86
[13:56:14.817] iteration 69 : loss: 0.859495, bcp: 0.854322, cmc: 0.152144, shared: 0.39, conf_t: 0.85
[13:56:19.845] iteration 70 : loss: 0.888801, bcp: 0.884124, cmc: 0.135566, shared: 0.39, conf_t: 0.85
[13:56:24.912] iteration 71 : loss: 1.077021, bcp: 1.071464, cmc: 0.158788, shared: 0.39, conf_t: 0.85
[13:56:30.366] iteration 72 : loss: 0.941804, bcp: 0.934638, cmc: 0.201835, shared: 0.39, conf_t: 0.85
[13:56:36.510] iteration 73 : loss: 1.007627, bcp: 1.002159, cmc: 0.151911, shared: 0.39, conf_t: 0.85
[13:56:42.110] iteration 74 : loss: 0.929412, bcp: 0.926564, cmc: 0.078023, shared: 0.39, conf_t: 0.85
[13:56:47.675] iteration 75 : loss: 0.848063, bcp: 0.839682, cmc: 0.226529, shared: 0.39, conf_t: 0.85
[13:56:53.409] iteration 76 : loss: 1.413508, bcp: 1.409329, cmc: 0.111436, shared: 0.39, conf_t: 0.85
[13:56:59.128] iteration 77 : loss: 1.193886, bcp: 1.191328, cmc: 0.067318, shared: 0.38, conf_t: 0.85
[13:57:04.931] iteration 78 : loss: 1.005585, bcp: 0.998418, cmc: 0.186145, shared: 0.38, conf_t: 0.85
[13:57:10.771] iteration 79 : loss: 1.159910, bcp: 1.153306, cmc: 0.169330, shared: 0.38, conf_t: 0.85
[13:57:16.228] iteration 80 : loss: 1.004355, bcp: 1.000507, cmc: 0.097420, shared: 0.38, conf_t: 0.85
[13:57:21.877] iteration 81 : loss: 0.989571, bcp: 0.985087, cmc: 0.112116, shared: 0.38, conf_t: 0.85
[13:57:27.704] iteration 82 : loss: 1.058096, bcp: 1.052390, cmc: 0.140892, shared: 0.38, conf_t: 0.85
[13:57:34.175] iteration 83 : loss: 0.859361, bcp: 0.855781, cmc: 0.087312, shared: 0.38, conf_t: 0.85
[13:57:40.424] iteration 84 : loss: 0.873398, bcp: 0.869162, cmc: 0.102077, shared: 0.38, conf_t: 0.84
[13:57:46.276] iteration 85 : loss: 0.817277, bcp: 0.811237, cmc: 0.143806, shared: 0.38, conf_t: 0.84
[13:57:51.611] iteration 86 : loss: 0.812999, bcp: 0.809483, cmc: 0.082739, shared: 0.38, conf_t: 0.84
