Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.7, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw07', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167699, mix_dice: 1.394646, mix_ce: 0.940752
iteration 7: loss: 0.994718, mix_dice: 1.363492, mix_ce: 0.625945
iteration 8: loss: 0.925242, mix_dice: 1.386598, mix_ce: 0.463886
iteration 9: loss: 0.994983, mix_dice: 1.409471, mix_ce: 0.580496
iteration 10: loss: 0.974972, mix_dice: 1.424332, mix_ce: 0.525611
iteration 11: loss: 0.867249, mix_dice: 1.398244, mix_ce: 0.336255
  0%|                                 | 1/910 [00:02<31:56,  2.11s/it]iteration 12: loss: 0.933018, mix_dice: 1.418307, mix_ce: 0.447728
iteration 13: loss: 0.912847, mix_dice: 1.376453, mix_ce: 0.449241
iteration 14: loss: 0.871610, mix_dice: 1.384637, mix_ce: 0.358584
iteration 15: loss: 0.869172, mix_dice: 1.383766, mix_ce: 0.354578
iteration 16: loss: 0.903982, mix_dice: 1.387847, mix_ce: 0.420118
iteration 17: loss: 0.903689, mix_dice: 1.391252, mix_ce: 0.416126
iteration 18: loss: 0.878615, mix_dice: 1.369395, mix_ce: 0.387836
iteration 19: loss: 0.977723, mix_dice: 1.421885, mix_ce: 0.533561
iteration 20: loss: 0.870661, mix_dice: 1.381077, mix_ce: 0.360246
iteration 21: loss: 0.954036, mix_dice: 1.394496, mix_ce: 0.513577
iteration 22: loss: 0.877123, mix_dice: 1.395606, mix_ce: 0.358641
  0%|                                 | 2/910 [00:03<24:33,  1.62s/it]iteration 23: loss: 0.893891, mix_dice: 1.366057, mix_ce: 0.421725
iteration 24: loss: 0.930694, mix_dice: 1.387063, mix_ce: 0.474324
