Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_attention_ps8', gpu='0', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices: 1312, labeled: 136
Start pre_training
22 iters/epoch
iter 94: loss:0.749287 dice:1.258143 ce:0.240432
iter 95: loss:0.922964 dice:1.395815 ce:0.450113
iter 96: loss:0.858658 dice:1.331816 ce:0.385500
iter 97: loss:0.866142 dice:1.319781 ce:0.412503
iter 98: loss:0.836913 dice:1.318858 ce:0.354969
iter 99: loss:0.834868 dice:1.310820 ce:0.358917
iter 100: loss:0.850537 dice:1.333345 ce:0.367729
iter 101: loss:0.865199 dice:1.311781 ce:0.418617
iter 102: loss:0.906820 dice:1.386227 ce:0.427413
iter 103: loss:0.829875 dice:1.349733 ce:0.310017
iter 104: loss:0.908313 dice:1.337161 ce:0.479465
iter 105: loss:0.935628 dice:1.497847 ce:0.373408
iter 106: loss:0.815867 dice:1.315175 ce:0.316560
iter 107: loss:0.810509 dice:1.303980 ce:0.317039
iter 108: loss:0.779444 dice:1.308172 ce:0.250716
iter 109: loss:0.919317 dice:1.470819 ce:0.367816
iter 110: loss:0.840589 dice:1.354132 ce:0.327045
  1%|▎                                | 5/455 [00:10<15:36,  2.08s/it]iter 111: loss:0.951596 dice:1.421179 ce:0.482014
iter 112: loss:0.862851 dice:1.471913 ce:0.253790
iter 113: loss:0.840303 dice:1.399799 ce:0.280808
iter 114: loss:0.862166 dice:1.350664 ce:0.373667
iter 115: loss:0.795093 dice:1.368232 ce:0.221955
iter 116: loss:0.897255 dice:1.372979 ce:0.421530
iter 117: loss:0.897776 dice:1.392627 ce:0.402925
iter 118: loss:0.792909 dice:1.297204 ce:0.288613
iter 119: loss:0.803022 dice:1.336521 ce:0.269523
iter 120: loss:0.779740 dice:1.267573 ce:0.291907
iter 121: loss:0.858848 dice:1.402943 ce:0.314754
iter 122: loss:1.038346 dice:1.415676 ce:0.661017
iter 123: loss:0.847469 dice:1.373726 ce:0.321212
iter 124: loss:0.798629 dice:1.254293 ce:0.342965
iter 125: loss:0.802405 dice:1.297182 ce:0.307627
iter 126: loss:0.776739 dice:1.283915 ce:0.269563
iter 127: loss:0.864379 dice:1.423298 ce:0.305459
iter 128: loss:0.863085 dice:1.343184 ce:0.382985
iter 129: loss:0.785559 dice:1.342479 ce:0.228639
iter 130: loss:0.878670 dice:1.356029 ce:0.401312
iter 131: loss:0.729824 dice:1.216139 ce:0.243509
iter 132: loss:0.835416 dice:1.374499 ce:0.296332
  1%|▍                                | 6/455 [00:12<15:26,  2.06s/it]iter 133: loss:0.761364 dice:1.261301 ce:0.261427
iter 134: loss:0.755514 dice:1.293939 ce:0.217088
iter 135: loss:0.947015 dice:1.325384 ce:0.568646
iter 136: loss:0.836330 dice:1.364041 ce:0.308618
iter 137: loss:0.742721 dice:1.220717 ce:0.264726
iter 138: loss:0.831540 dice:1.291580 ce:0.371500
iter 139: loss:0.842568 dice:1.370576 ce:0.314559
iter 140: loss:0.943882 dice:1.411664 ce:0.476099
iter 141: loss:0.817209 dice:1.310164 ce:0.324254
iter 142: loss:0.998758 dice:1.368456 ce:0.629060
iter 143: loss:0.968705 dice:1.398684 ce:0.538726
iter 144: loss:0.836321 dice:1.410976 ce:0.261666
iter 145: loss:0.910053 dice:1.411139 ce:0.408967
iter 146: loss:0.825213 dice:1.321790 ce:0.328636
iter 147: loss:0.770861 dice:1.225135 ce:0.316586
iter 148: loss:0.859462 dice:1.368881 ce:0.350043
iter 149: loss:0.825067 dice:1.362083 ce:0.288051
iter 150: loss:0.804982 dice:1.278823 ce:0.331141
iter 151: loss:0.813675 dice:1.265099 ce:0.362251
iter 152: loss:0.768304 dice:1.313172 ce:0.223436
iter 153: loss:0.881947 dice:1.463737 ce:0.300157
iter 154: loss:0.874735 dice:1.417075 ce:0.332396
  2%|▌                                | 7/455 [00:14<15:10,  2.03s/it]iter 155: loss:0.803896 dice:1.287955 ce:0.319837
iter 156: loss:0.832058 dice:1.320192 ce:0.343924
iter 157: loss:0.802690 dice:1.168980 ce:0.436400
iter 158: loss:0.890145 dice:1.393256 ce:0.387034
iter 159: loss:0.689171 dice:1.113067 ce:0.265276
iter 160: loss:0.717399 dice:1.174887 ce:0.259911
iter 161: loss:0.814023 dice:1.273191 ce:0.354854
iter 162: loss:0.775950 dice:1.297587 ce:0.254312
iter 163: loss:0.839927 dice:1.364417 ce:0.315438
iter 164: loss:0.743079 dice:1.235787 ce:0.250371
iter 165: loss:0.814282 dice:1.275165 ce:0.353399
iter 166: loss:0.866990 dice:1.267531 ce:0.466450
iter 167: loss:0.753343 dice:1.236261 ce:0.270424
iter 168: loss:0.789759 dice:1.325077 ce:0.254441
iter 169: loss:0.819819 dice:1.394668 ce:0.244971
iter 170: loss:0.749657 dice:1.249756 ce:0.249558
iter 171: loss:0.741251 dice:1.164402 ce:0.318100
iter 172: loss:0.960678 dice:1.414910 ce:0.506447
iter 173: loss:0.753118 dice:1.224489 ce:0.281747
iter 174: loss:0.741194 dice:1.248181 ce:0.234207
iter 175: loss:0.766789 dice:1.333914 ce:0.199663
iter 176: loss:0.667742 dice:1.169508 ce:0.165977
  2%|▌                                | 8/455 [00:16<15:04,  2.02s/it]iter 177: loss:1.056756 dice:1.506404 ce:0.607108
iter 178: loss:0.676610 dice:1.150220 ce:0.203001
iter 179: loss:0.749661 dice:1.256078 ce:0.243245
iter 180: loss:0.810589 dice:1.265818 ce:0.355361
iter 181: loss:0.766000 dice:1.252948 ce:0.279053
