Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.1, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='ACDC_BCP_CMC_v1_mutual_mw01', gpu='3', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167702, mix_dice: 1.394649, mix_ce: 0.940756
iteration 7: loss: 0.994729, mix_dice: 1.363499, mix_ce: 0.625959
iteration 8: loss: 0.925234, mix_dice: 1.386589, mix_ce: 0.463878
iteration 9: loss: 0.994981, mix_dice: 1.409454, mix_ce: 0.580509
iteration 10: loss: 0.974978, mix_dice: 1.424318, mix_ce: 0.525639
iteration 11: loss: 0.867276, mix_dice: 1.398232, mix_ce: 0.336320
  0%|                                 | 1/910 [00:03<46:41,  3.08s/it]iteration 12: loss: 0.932936, mix_dice: 1.418124, mix_ce: 0.447749
iteration 13: loss: 0.912832, mix_dice: 1.376404, mix_ce: 0.449261
iteration 14: loss: 0.871596, mix_dice: 1.384617, mix_ce: 0.358576
iteration 15: loss: 0.869137, mix_dice: 1.383817, mix_ce: 0.354456
iteration 16: loss: 0.904021, mix_dice: 1.387991, mix_ce: 0.420050
iteration 17: loss: 0.903626, mix_dice: 1.391322, mix_ce: 0.415930
iteration 18: loss: 0.878782, mix_dice: 1.369773, mix_ce: 0.387792
iteration 19: loss: 0.977572, mix_dice: 1.422139, mix_ce: 0.533006
iteration 20: loss: 0.870610, mix_dice: 1.381066, mix_ce: 0.360155
iteration 21: loss: 0.953435, mix_dice: 1.394188, mix_ce: 0.512681
iteration 22: loss: 0.877327, mix_dice: 1.395952, mix_ce: 0.358703
  0%|                                 | 2/910 [00:04<31:11,  2.06s/it]iteration 23: loss: 0.894368, mix_dice: 1.366442, mix_ce: 0.422294
iteration 24: loss: 0.931172, mix_dice: 1.387611, mix_ce: 0.474734
