Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=1.0, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw10', gpu='2', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167702, mix_dice: 1.394647, mix_ce: 0.940758
iteration 7: loss: 0.994730, mix_dice: 1.363495, mix_ce: 0.625964
iteration 8: loss: 0.925223, mix_dice: 1.386592, mix_ce: 0.463854
iteration 9: loss: 0.994946, mix_dice: 1.409466, mix_ce: 0.580426
iteration 10: loss: 0.974933, mix_dice: 1.424338, mix_ce: 0.525528
iteration 11: loss: 0.867250, mix_dice: 1.398231, mix_ce: 0.336270
  0%|                                 | 1/910 [00:02<41:35,  2.75s/it]iteration 12: loss: 0.932957, mix_dice: 1.418220, mix_ce: 0.447694
iteration 13: loss: 0.912791, mix_dice: 1.376308, mix_ce: 0.449274
iteration 14: loss: 0.871547, mix_dice: 1.384489, mix_ce: 0.358606
iteration 15: loss: 0.869238, mix_dice: 1.383786, mix_ce: 0.354690
iteration 16: loss: 0.904193, mix_dice: 1.388041, mix_ce: 0.420345
iteration 17: loss: 0.903554, mix_dice: 1.391195, mix_ce: 0.415913
iteration 18: loss: 0.878956, mix_dice: 1.369787, mix_ce: 0.388125
iteration 19: loss: 0.977551, mix_dice: 1.422065, mix_ce: 0.533037
iteration 20: loss: 0.870549, mix_dice: 1.381184, mix_ce: 0.359915
iteration 21: loss: 0.954216, mix_dice: 1.394804, mix_ce: 0.513628
iteration 22: loss: 0.877679, mix_dice: 1.396420, mix_ce: 0.358939
  0%|                                 | 2/910 [00:04<29:26,  1.95s/it]iteration 23: loss: 0.894715, mix_dice: 1.367337, mix_ce: 0.422094
iteration 24: loss: 0.930214, mix_dice: 1.386743, mix_ce: 0.473685
