Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.3, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw03_ps8', gpu='1', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360628, mix_dice: 1.432738, mix_ce: 1.288519
iteration 6: loss: 1.167707, mix_dice: 1.394649, mix_ce: 0.940765
iteration 7: loss: 0.994730, mix_dice: 1.363501, mix_ce: 0.625959
iteration 8: loss: 0.925225, mix_dice: 1.386597, mix_ce: 0.463852
iteration 9: loss: 0.994973, mix_dice: 1.409480, mix_ce: 0.580466
iteration 10: loss: 0.974962, mix_dice: 1.424338, mix_ce: 0.525586
iteration 11: loss: 0.867240, mix_dice: 1.398219, mix_ce: 0.336261
  0%|                                 | 1/910 [00:03<46:17,  3.06s/it]iteration 12: loss: 0.932998, mix_dice: 1.418303, mix_ce: 0.447694
iteration 13: loss: 0.912792, mix_dice: 1.376338, mix_ce: 0.449245
iteration 14: loss: 0.871589, mix_dice: 1.384569, mix_ce: 0.358609
iteration 15: loss: 0.869292, mix_dice: 1.383863, mix_ce: 0.354721
iteration 16: loss: 0.904129, mix_dice: 1.388023, mix_ce: 0.420236
iteration 17: loss: 0.903554, mix_dice: 1.391245, mix_ce: 0.415863
iteration 18: loss: 0.878896, mix_dice: 1.369853, mix_ce: 0.387939
iteration 19: loss: 0.977614, mix_dice: 1.421991, mix_ce: 0.533237
iteration 20: loss: 0.870614, mix_dice: 1.381108, mix_ce: 0.360119
iteration 21: loss: 0.953696, mix_dice: 1.394395, mix_ce: 0.512998
iteration 22: loss: 0.877349, mix_dice: 1.395863, mix_ce: 0.358834
  0%|                                 | 2/910 [00:04<32:08,  2.12s/it]iteration 23: loss: 0.894170, mix_dice: 1.366428, mix_ce: 0.421912
iteration 24: loss: 0.931009, mix_dice: 1.387535, mix_ce: 0.474482
