Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw05_ps8', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
iteration 68: loss: 0.794609, mix_dice: 1.276583, mix_ce: 0.312635
iteration 69: loss: 0.807953, mix_dice: 1.300640, mix_ce: 0.315265
iteration 70: loss: 0.893035, mix_dice: 1.328338, mix_ce: 0.457732
iteration 71: loss: 0.777539, mix_dice: 1.279876, mix_ce: 0.275203
iteration 72: loss: 0.844407, mix_dice: 1.354969, mix_ce: 0.333845
iteration 73: loss: 0.879819, mix_dice: 1.374680, mix_ce: 0.384958
iteration 74: loss: 0.824888, mix_dice: 1.325623, mix_ce: 0.324154
iteration 75: loss: 0.894982, mix_dice: 1.412053, mix_ce: 0.377912
iteration 76: loss: 0.812202, mix_dice: 1.350554, mix_ce: 0.273850
iteration 77: loss: 0.854407, mix_dice: 1.385614, mix_ce: 0.323199
  1%|▎                                | 7/910 [00:13<26:57,  1.79s/it]iteration 78: loss: 0.808097, mix_dice: 1.309598, mix_ce: 0.306595
iteration 79: loss: 0.877842, mix_dice: 1.354787, mix_ce: 0.400897
iteration 80: loss: 0.800689, mix_dice: 1.306550, mix_ce: 0.294828
iteration 81: loss: 0.805898, mix_dice: 1.308104, mix_ce: 0.303692
iteration 82: loss: 0.847928, mix_dice: 1.289653, mix_ce: 0.406202
iteration 83: loss: 0.838965, mix_dice: 1.317467, mix_ce: 0.360462
iteration 84: loss: 0.773483, mix_dice: 1.273159, mix_ce: 0.273806
iteration 85: loss: 0.877492, mix_dice: 1.367027, mix_ce: 0.387957
iteration 86: loss: 0.779725, mix_dice: 1.214521, mix_ce: 0.344929
iteration 87: loss: 0.843696, mix_dice: 1.433599, mix_ce: 0.253793
iteration 88: loss: 0.846637, mix_dice: 1.332847, mix_ce: 0.360427
  1%|▎                                | 8/910 [00:14<26:50,  1.79s/it]iteration 89: loss: 0.948119, mix_dice: 1.391734, mix_ce: 0.504504
iteration 90: loss: 0.789609, mix_dice: 1.259355, mix_ce: 0.319862
iteration 91: loss: 0.848520, mix_dice: 1.299726, mix_ce: 0.397315
iteration 92: loss: 0.774736, mix_dice: 1.275937, mix_ce: 0.273534
iteration 93: loss: 0.818765, mix_dice: 1.309716, mix_ce: 0.327814
iteration 94: loss: 0.843509, mix_dice: 1.295689, mix_ce: 0.391330
iteration 95: loss: 0.780343, mix_dice: 1.278427, mix_ce: 0.282259
iteration 96: loss: 0.775915, mix_dice: 1.309458, mix_ce: 0.242372
iteration 97: loss: 0.795760, mix_dice: 1.301640, mix_ce: 0.289880
iteration 98: loss: 0.814868, mix_dice: 1.342672, mix_ce: 0.287064
iteration 99: loss: 0.849772, mix_dice: 1.386045, mix_ce: 0.313498
  1%|▎                                | 9/910 [00:16<25:43,  1.71s/it]iteration 100: loss: 0.835455, mix_dice: 1.312192, mix_ce: 0.358718
iteration 101: loss: 0.788048, mix_dice: 1.285051, mix_ce: 0.291045
iteration 102: loss: 0.758404, mix_dice: 1.293695, mix_ce: 0.223113
iteration 103: loss: 0.687031, mix_dice: 1.121010, mix_ce: 0.253052
iteration 104: loss: 0.882891, mix_dice: 1.349255, mix_ce: 0.416527
iteration 105: loss: 0.888927, mix_dice: 1.264659, mix_ce: 0.513194
iteration 106: loss: 0.791863, mix_dice: 1.320314, mix_ce: 0.263412
iteration 107: loss: 0.858628, mix_dice: 1.408518, mix_ce: 0.308739
iteration 108: loss: 0.843056, mix_dice: 1.327153, mix_ce: 0.358958
iteration 109: loss: 0.803257, mix_dice: 1.292259, mix_ce: 0.314255
iteration 110: loss: 0.817019, mix_dice: 1.311398, mix_ce: 0.322639
  1%|▎                               | 10/910 [00:18<26:23,  1.76s/it]iteration 111: loss: 0.867284, mix_dice: 1.368652, mix_ce: 0.365917
iteration 112: loss: 0.829056, mix_dice: 1.333515, mix_ce: 0.324597
iteration 113: loss: 0.768851, mix_dice: 1.251351, mix_ce: 0.286351
iteration 114: loss: 0.840806, mix_dice: 1.361892, mix_ce: 0.319720
iteration 115: loss: 0.821213, mix_dice: 1.265522, mix_ce: 0.376903
iteration 116: loss: 0.777375, mix_dice: 1.249323, mix_ce: 0.305428
iteration 117: loss: 0.767288, mix_dice: 1.248295, mix_ce: 0.286281
iteration 118: loss: 0.746390, mix_dice: 1.247677, mix_ce: 0.245103
iteration 119: loss: 0.793509, mix_dice: 1.297986, mix_ce: 0.289032
iteration 120: loss: 0.829196, mix_dice: 1.330727, mix_ce: 0.327665
iteration 121: loss: 0.894109, mix_dice: 1.465521, mix_ce: 0.322698
  1%|▍                               | 11/910 [00:19<25:43,  1.72s/it]iteration 122: loss: 0.872761, mix_dice: 1.379660, mix_ce: 0.365862
iteration 123: loss: 0.796592, mix_dice: 1.329598, mix_ce: 0.263587
iteration 124: loss: 0.698151, mix_dice: 1.160596, mix_ce: 0.235706
iteration 125: loss: 0.744493, mix_dice: 1.244929, mix_ce: 0.244058
iteration 126: loss: 0.785165, mix_dice: 1.307620, mix_ce: 0.262710
iteration 127: loss: 0.799208, mix_dice: 1.281306, mix_ce: 0.317109
iteration 128: loss: 0.718467, mix_dice: 1.185193, mix_ce: 0.251742
iteration 129: loss: 0.733199, mix_dice: 1.239060, mix_ce: 0.227339
iteration 130: loss: 0.827032, mix_dice: 1.278314, mix_ce: 0.375751
iteration 131: loss: 0.755163, mix_dice: 1.203696, mix_ce: 0.306629
iteration 132: loss: 0.790854, mix_dice: 1.289203, mix_ce: 0.292505
  1%|▍                               | 12/910 [00:21<26:00,  1.74s/it]iteration 133: loss: 0.727125, mix_dice: 1.254675, mix_ce: 0.199574
iteration 134: loss: 0.770207, mix_dice: 1.284509, mix_ce: 0.255906
iteration 135: loss: 0.691332, mix_dice: 1.162395, mix_ce: 0.220269
iteration 136: loss: 0.796338, mix_dice: 1.286974, mix_ce: 0.305701
iteration 137: loss: 0.697962, mix_dice: 1.195298, mix_ce: 0.200625
iteration 138: loss: 0.809147, mix_dice: 1.245026, mix_ce: 0.373267
iteration 139: loss: 0.694268, mix_dice: 1.139596, mix_ce: 0.248939
iteration 140: loss: 0.719734, mix_dice: 1.242057, mix_ce: 0.197411
iteration 141: loss: 0.821501, mix_dice: 1.332809, mix_ce: 0.310194
iteration 142: loss: 0.781326, mix_dice: 1.330918, mix_ce: 0.231735
iteration 143: loss: 0.741845, mix_dice: 1.289639, mix_ce: 0.194051
  1%|▍                               | 13/910 [00:23<26:31,  1.77s/it]iteration 144: loss: 0.732911, mix_dice: 1.230883, mix_ce: 0.234939
iteration 145: loss: 0.770424, mix_dice: 1.313081, mix_ce: 0.227766
iteration 146: loss: 0.723082, mix_dice: 1.208741, mix_ce: 0.237424
iteration 147: loss: 0.741508, mix_dice: 1.226269, mix_ce: 0.256746
iteration 148: loss: 0.769705, mix_dice: 1.304100, mix_ce: 0.235310
iteration 149: loss: 0.760687, mix_dice: 1.213512, mix_ce: 0.307861
iteration 150: loss: 0.742391, mix_dice: 1.283603, mix_ce: 0.201180
iteration 151: loss: 0.787097, mix_dice: 1.247283, mix_ce: 0.326912
iteration 152: loss: 0.795763, mix_dice: 1.308098, mix_ce: 0.283428
iteration 153: loss: 0.770204, mix_dice: 1.254784, mix_ce: 0.285623
iteration 154: loss: 0.842146, mix_dice: 1.325287, mix_ce: 0.359005
  2%|▍                               | 14/910 [00:25<25:27,  1.71s/it]iteration 155: loss: 0.719235, mix_dice: 1.223500, mix_ce: 0.214971
iteration 156: loss: 0.814230, mix_dice: 1.181257, mix_ce: 0.447202
iteration 157: loss: 0.750568, mix_dice: 1.273884, mix_ce: 0.227252
iteration 158: loss: 0.715575, mix_dice: 1.233924, mix_ce: 0.197226
iteration 159: loss: 0.795843, mix_dice: 1.284539, mix_ce: 0.307147
iteration 160: loss: 0.815179, mix_dice: 1.283414, mix_ce: 0.346943
iteration 161: loss: 0.849760, mix_dice: 1.332647, mix_ce: 0.366873
iteration 162: loss: 0.723322, mix_dice: 1.241352, mix_ce: 0.205292
iteration 163: loss: 0.771235, mix_dice: 1.299371, mix_ce: 0.243098
iteration 164: loss: 0.714620, mix_dice: 1.248930, mix_ce: 0.180309
iteration 165: loss: 0.766366, mix_dice: 1.272772, mix_ce: 0.259961
  2%|▌                               | 15/910 [00:26<25:30,  1.71s/it]iteration 166: loss: 0.739956, mix_dice: 1.276790, mix_ce: 0.203122
iteration 167: loss: 0.870632, mix_dice: 1.342757, mix_ce: 0.398507
iteration 168: loss: 0.729651, mix_dice: 1.164552, mix_ce: 0.294750
iteration 169: loss: 0.831523, mix_dice: 1.382954, mix_ce: 0.280091
iteration 170: loss: 0.814033, mix_dice: 1.333784, mix_ce: 0.294281
iteration 171: loss: 0.818832, mix_dice: 1.305986, mix_ce: 0.331678
iteration 172: loss: 0.689146, mix_dice: 1.126437, mix_ce: 0.251854
