Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.3, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='ACDC_BCP_CMC_v1_mutual_mw03', gpu='0', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
iteration 68: loss: 0.794099, mix_dice: 1.279805, mix_ce: 0.308394
iteration 69: loss: 0.801105, mix_dice: 1.301868, mix_ce: 0.300342
iteration 70: loss: 0.872047, mix_dice: 1.320671, mix_ce: 0.423422
iteration 71: loss: 0.774388, mix_dice: 1.279910, mix_ce: 0.268867
iteration 72: loss: 0.833153, mix_dice: 1.347224, mix_ce: 0.319082
iteration 73: loss: 0.869129, mix_dice: 1.366961, mix_ce: 0.371298
iteration 74: loss: 0.826291, mix_dice: 1.326505, mix_ce: 0.326078
iteration 75: loss: 0.914058, mix_dice: 1.428168, mix_ce: 0.399948
iteration 76: loss: 0.811335, mix_dice: 1.345183, mix_ce: 0.277487
iteration 77: loss: 0.835658, mix_dice: 1.357013, mix_ce: 0.314302
  1%|▎                                | 7/910 [00:10<20:21,  1.35s/it]iteration 78: loss: 0.820932, mix_dice: 1.314300, mix_ce: 0.327564
iteration 79: loss: 0.872704, mix_dice: 1.349406, mix_ce: 0.396001
iteration 80: loss: 0.791124, mix_dice: 1.289064, mix_ce: 0.293183
iteration 81: loss: 0.819757, mix_dice: 1.306361, mix_ce: 0.333152
iteration 82: loss: 0.890955, mix_dice: 1.325848, mix_ce: 0.456062
iteration 83: loss: 0.840865, mix_dice: 1.321932, mix_ce: 0.359798
iteration 84: loss: 0.768145, mix_dice: 1.276789, mix_ce: 0.259502
iteration 85: loss: 0.895793, mix_dice: 1.393167, mix_ce: 0.398418
iteration 86: loss: 0.777899, mix_dice: 1.220626, mix_ce: 0.335172
iteration 87: loss: 0.837762, mix_dice: 1.430952, mix_ce: 0.244572
iteration 88: loss: 0.860511, mix_dice: 1.344182, mix_ce: 0.376839
  1%|▎                                | 8/910 [00:11<18:53,  1.26s/it]iteration 89: loss: 0.934875, mix_dice: 1.391119, mix_ce: 0.478631
