============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
iteration 168: loss: 0.777646
iteration 169: loss: 0.847444
iteration 170: loss: 0.755721
iteration 171: loss: 0.800684
iteration 172: loss: 0.902574
iteration 173: loss: 0.804440
iteration 174: loss: 0.744290
iteration 175: loss: 0.815140
iteration 176: loss: 0.682439
  2%|▌                                | 8/455 [00:16<14:42,  1.97s/it]iteration 177: loss: 1.034391
iteration 178: loss: 0.719180
iteration 179: loss: 0.733791
iteration 180: loss: 0.843674
iteration 181: loss: 0.762992
iteration 182: loss: 0.811009
iteration 183: loss: 0.716223
iteration 184: loss: 0.849822
iteration 185: loss: 0.739964
iteration 186: loss: 0.736926
iteration 187: loss: 0.728840
iteration 188: loss: 0.852564
iteration 189: loss: 0.769128
iteration 190: loss: 0.698858
iteration 191: loss: 0.824803
iteration 192: loss: 0.759576
iteration 193: loss: 0.853867
iteration 194: loss: 0.707442
iteration 195: loss: 0.837294
iteration 196: loss: 0.766932
iteration 197: loss: 0.796054
iteration 198: loss: 0.826992
  2%|▋                                | 9/455 [00:17<13:32,  1.82s/it]iteration 199: loss: 0.727312
iteration 200: loss: 0.713036
iteration 200 : mean_dice : 0.112784
iteration 201: loss: 0.809145
iteration 202: loss: 0.925172
iteration 203: loss: 0.770749
iteration 204: loss: 0.880933
iteration 205: loss: 0.941622
iteration 206: loss: 0.831861
iteration 207: loss: 0.861846
iteration 208: loss: 0.838196
iteration 209: loss: 0.816187
iteration 210: loss: 0.792887
iteration 211: loss: 0.785396
iteration 212: loss: 0.783703
iteration 213: loss: 0.753826
iteration 214: loss: 0.701913
iteration 215: loss: 0.725556
iteration 216: loss: 0.745433
iteration 217: loss: 0.794219
iteration 218: loss: 0.708604
iteration 219: loss: 0.906444
iteration 220: loss: 0.746272
  2%|▋                               | 10/455 [00:26<30:38,  4.13s/it]iteration 221: loss: 0.892762
iteration 222: loss: 0.833686
