Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.7, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw07_ps8', gpu='1', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360626, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167700, mix_dice: 1.394646, mix_ce: 0.940753
iteration 7: loss: 0.994723, mix_dice: 1.363495, mix_ce: 0.625951
iteration 8: loss: 0.925227, mix_dice: 1.386594, mix_ce: 0.463860
iteration 9: loss: 0.994959, mix_dice: 1.409465, mix_ce: 0.580454
iteration 10: loss: 0.974950, mix_dice: 1.424324, mix_ce: 0.525577
iteration 11: loss: 0.867273, mix_dice: 1.398221, mix_ce: 0.336325
  0%|                                 | 1/910 [00:02<34:20,  2.27s/it]iteration 12: loss: 0.932936, mix_dice: 1.418177, mix_ce: 0.447695
iteration 13: loss: 0.912789, mix_dice: 1.376314, mix_ce: 0.449264
iteration 14: loss: 0.871560, mix_dice: 1.384519, mix_ce: 0.358601
iteration 15: loss: 0.869240, mix_dice: 1.383814, mix_ce: 0.354665
iteration 16: loss: 0.904162, mix_dice: 1.388063, mix_ce: 0.420261
iteration 17: loss: 0.903554, mix_dice: 1.391184, mix_ce: 0.415924
iteration 18: loss: 0.878857, mix_dice: 1.369741, mix_ce: 0.387974
iteration 19: loss: 0.977513, mix_dice: 1.421934, mix_ce: 0.533091
iteration 20: loss: 0.870579, mix_dice: 1.381081, mix_ce: 0.360077
iteration 21: loss: 0.953821, mix_dice: 1.394821, mix_ce: 0.512821
iteration 22: loss: 0.877402, mix_dice: 1.396118, mix_ce: 0.358687
  0%|                                 | 2/910 [00:03<25:33,  1.69s/it]iteration 23: loss: 0.894574, mix_dice: 1.367143, mix_ce: 0.422006
iteration 24: loss: 0.930259, mix_dice: 1.387017, mix_ce: 0.473501
iteration 25: loss: 0.911207, mix_dice: 1.394399, mix_ce: 0.428015
iteration 26: loss: 0.907455, mix_dice: 1.405841, mix_ce: 0.409070
iteration 27: loss: 0.895822, mix_dice: 1.295378, mix_ce: 0.496266
iteration 28: loss: 0.967425, mix_dice: 1.361770, mix_ce: 0.573079
iteration 29: loss: 0.847437, mix_dice: 1.372785, mix_ce: 0.322089
iteration 30: loss: 0.841198, mix_dice: 1.313148, mix_ce: 0.369248
iteration 31: loss: 0.779935, mix_dice: 1.311187, mix_ce: 0.248684
iteration 32: loss: 0.909091, mix_dice: 1.439159, mix_ce: 0.379023
iteration 33: loss: 0.900346, mix_dice: 1.429749, mix_ce: 0.370943
  0%|                                 | 3/910 [00:05<24:13,  1.60s/it]iteration 34: loss: 0.898235, mix_dice: 1.442719, mix_ce: 0.353752
iteration 35: loss: 0.943882, mix_dice: 1.361630, mix_ce: 0.526134
iteration 36: loss: 0.868870, mix_dice: 1.353425, mix_ce: 0.384315
iteration 37: loss: 0.831284, mix_dice: 1.330733, mix_ce: 0.331835
iteration 38: loss: 0.940742, mix_dice: 1.324803, mix_ce: 0.556681
iteration 39: loss: 0.915179, mix_dice: 1.323537, mix_ce: 0.506822
iteration 40: loss: 0.943754, mix_dice: 1.396672, mix_ce: 0.490837
iteration 41: loss: 1.082881, mix_dice: 1.380350, mix_ce: 0.785412
iteration 42: loss: 0.926492, mix_dice: 1.359757, mix_ce: 0.493227
iteration 43: loss: 0.853545, mix_dice: 1.356839, mix_ce: 0.350251
iteration 44: loss: 0.880097, mix_dice: 1.360133, mix_ce: 0.400061
  0%|▏                                | 4/910 [00:06<21:25,  1.42s/it]iteration 45: loss: 0.869659, mix_dice: 1.291579, mix_ce: 0.447738
iteration 46: loss: 0.936778, mix_dice: 1.386730, mix_ce: 0.486826
iteration 47: loss: 0.929858, mix_dice: 1.391276, mix_ce: 0.468440
iteration 48: loss: 0.894233, mix_dice: 1.354676, mix_ce: 0.433791
iteration 49: loss: 0.905530, mix_dice: 1.300042, mix_ce: 0.511018
iteration 50: loss: 0.865625, mix_dice: 1.361649, mix_ce: 0.369600
iteration 51: loss: 0.869869, mix_dice: 1.337840, mix_ce: 0.401897
iteration 52: loss: 0.839462, mix_dice: 1.321261, mix_ce: 0.357662
iteration 53: loss: 0.849687, mix_dice: 1.325187, mix_ce: 0.374186
iteration 54: loss: 0.864445, mix_dice: 1.333417, mix_ce: 0.395474
iteration 55: loss: 0.907633, mix_dice: 1.390710, mix_ce: 0.424556
  1%|▏                                | 5/910 [00:07<22:40,  1.50s/it]iteration 56: loss: 0.822956, mix_dice: 1.263038, mix_ce: 0.382875
iteration 57: loss: 0.843174, mix_dice: 1.318845, mix_ce: 0.367503
iteration 58: loss: 0.854817, mix_dice: 1.395089, mix_ce: 0.314544
iteration 59: loss: 0.801719, mix_dice: 1.305178, mix_ce: 0.298260
iteration 60: loss: 0.887251, mix_dice: 1.367095, mix_ce: 0.407406
iteration 61: loss: 0.861952, mix_dice: 1.339803, mix_ce: 0.384100
iteration 62: loss: 0.903573, mix_dice: 1.343140, mix_ce: 0.464007
iteration 63: loss: 0.841174, mix_dice: 1.314251, mix_ce: 0.368097
iteration 64: loss: 0.778335, mix_dice: 1.263545, mix_ce: 0.293126
iteration 65: loss: 0.811585, mix_dice: 1.296221, mix_ce: 0.326948
iteration 66: loss: 0.784777, mix_dice: 1.218616, mix_ce: 0.350937
  1%|▏                                | 6/910 [00:09<23:41,  1.57s/it]iteration 67: loss: 0.826047, mix_dice: 1.354624, mix_ce: 0.297470
iteration 68: loss: 0.794639, mix_dice: 1.277102, mix_ce: 0.312175
iteration 69: loss: 0.804603, mix_dice: 1.303169, mix_ce: 0.306036
iteration 70: loss: 0.846948, mix_dice: 1.304055, mix_ce: 0.389841
iteration 71: loss: 0.762041, mix_dice: 1.270541, mix_ce: 0.253540
iteration 72: loss: 0.826720, mix_dice: 1.343288, mix_ce: 0.310152
iteration 73: loss: 0.835984, mix_dice: 1.341316, mix_ce: 0.330652
iteration 74: loss: 0.836808, mix_dice: 1.332028, mix_ce: 0.341587
iteration 75: loss: 0.944067, mix_dice: 1.451834, mix_ce: 0.436299
iteration 76: loss: 0.806824, mix_dice: 1.339080, mix_ce: 0.274568
iteration 77: loss: 0.835540, mix_dice: 1.353324, mix_ce: 0.317757
  1%|▎                                | 7/910 [00:10<22:33,  1.50s/it]iteration 78: loss: 0.823129, mix_dice: 1.315670, mix_ce: 0.330588
iteration 79: loss: 0.873869, mix_dice: 1.346004, mix_ce: 0.401734
iteration 80: loss: 0.781703, mix_dice: 1.282536, mix_ce: 0.280871
iteration 81: loss: 0.812589, mix_dice: 1.304342, mix_ce: 0.320836
iteration 82: loss: 0.832033, mix_dice: 1.293094, mix_ce: 0.370972
iteration 83: loss: 0.839469, mix_dice: 1.324245, mix_ce: 0.354692
iteration 84: loss: 0.764175, mix_dice: 1.273643, mix_ce: 0.254707
iteration 85: loss: 0.890620, mix_dice: 1.392886, mix_ce: 0.388353
iteration 86: loss: 0.773762, mix_dice: 1.221201, mix_ce: 0.326323
iteration 87: loss: 0.820937, mix_dice: 1.401506, mix_ce: 0.240368
iteration 88: loss: 0.837486, mix_dice: 1.324013, mix_ce: 0.350959
  1%|▎                                | 8/910 [00:12<22:03,  1.47s/it]iteration 89: loss: 0.907673, mix_dice: 1.362130, mix_ce: 0.453215
iteration 90: loss: 0.812976, mix_dice: 1.279135, mix_ce: 0.346817
iteration 91: loss: 0.850792, mix_dice: 1.294237, mix_ce: 0.407346
iteration 92: loss: 0.775468, mix_dice: 1.270696, mix_ce: 0.280240
iteration 93: loss: 0.833236, mix_dice: 1.319713, mix_ce: 0.346759
