Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw05_ps8', gpu='1', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316461
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360626, mix_dice: 1.432737, mix_ce: 1.288516
iteration 6: loss: 1.167700, mix_dice: 1.394646, mix_ce: 0.940754
iteration 7: loss: 0.994723, mix_dice: 1.363489, mix_ce: 0.625958
iteration 8: loss: 0.925225, mix_dice: 1.386587, mix_ce: 0.463863
iteration 9: loss: 0.994949, mix_dice: 1.409455, mix_ce: 0.580442
iteration 10: loss: 0.974945, mix_dice: 1.424337, mix_ce: 0.525553
iteration 11: loss: 0.867240, mix_dice: 1.398233, mix_ce: 0.336247
  0%|                                 | 1/910 [00:02<42:53,  2.83s/it]iteration 12: loss: 0.933004, mix_dice: 1.418330, mix_ce: 0.447679
iteration 13: loss: 0.912786, mix_dice: 1.376319, mix_ce: 0.449254
iteration 14: loss: 0.871570, mix_dice: 1.384528, mix_ce: 0.358612
iteration 15: loss: 0.869302, mix_dice: 1.383845, mix_ce: 0.354759
iteration 16: loss: 0.904295, mix_dice: 1.388147, mix_ce: 0.420443
iteration 17: loss: 0.903483, mix_dice: 1.391183, mix_ce: 0.415783
iteration 18: loss: 0.878857, mix_dice: 1.369736, mix_ce: 0.387978
iteration 19: loss: 0.977587, mix_dice: 1.422077, mix_ce: 0.533098
iteration 20: loss: 0.870505, mix_dice: 1.381193, mix_ce: 0.359817
iteration 21: loss: 0.953845, mix_dice: 1.394785, mix_ce: 0.512905
iteration 22: loss: 0.877493, mix_dice: 1.396516, mix_ce: 0.358471
  0%|                                 | 2/910 [00:04<28:54,  1.91s/it]iteration 23: loss: 0.894531, mix_dice: 1.367221, mix_ce: 0.421842
iteration 24: loss: 0.930347, mix_dice: 1.386837, mix_ce: 0.473856
