Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=1.0, cmc_patch_size=8, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw10_ps8', gpu='1', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
  0%|                                         | 0/910 [00:00<?, ?it/s]iteration 1: loss: 2.364683, mix_dice: 1.683895, mix_ce: 3.045471
iteration 2: loss: 2.216924, mix_dice: 1.662063, mix_ce: 2.771785
iteration 3: loss: 1.948268, mix_dice: 1.580076, mix_ce: 2.316460
iteration 4: loss: 1.675606, mix_dice: 1.547480, mix_ce: 1.803732
iteration 5: loss: 1.360627, mix_dice: 1.432737, mix_ce: 1.288517
iteration 6: loss: 1.167701, mix_dice: 1.394646, mix_ce: 0.940756
iteration 7: loss: 0.994725, mix_dice: 1.363495, mix_ce: 0.625954
iteration 8: loss: 0.925227, mix_dice: 1.386595, mix_ce: 0.463858
iteration 9: loss: 0.994953, mix_dice: 1.409472, mix_ce: 0.580434
iteration 10: loss: 0.974936, mix_dice: 1.424333, mix_ce: 0.525539
iteration 11: loss: 0.867261, mix_dice: 1.398250, mix_ce: 0.336271
  0%|                                 | 1/910 [00:02<32:06,  2.12s/it]iteration 12: loss: 0.932979, mix_dice: 1.418281, mix_ce: 0.447677
iteration 13: loss: 0.912799, mix_dice: 1.376339, mix_ce: 0.449260
iteration 14: loss: 0.871575, mix_dice: 1.384552, mix_ce: 0.358598
iteration 15: loss: 0.869264, mix_dice: 1.383846, mix_ce: 0.354682
iteration 16: loss: 0.904239, mix_dice: 1.388108, mix_ce: 0.420369
iteration 17: loss: 0.903574, mix_dice: 1.391214, mix_ce: 0.415933
iteration 18: loss: 0.878665, mix_dice: 1.369533, mix_ce: 0.387797
iteration 19: loss: 0.977584, mix_dice: 1.422000, mix_ce: 0.533168
iteration 20: loss: 0.870463, mix_dice: 1.381173, mix_ce: 0.359753
iteration 21: loss: 0.953865, mix_dice: 1.394938, mix_ce: 0.512791
iteration 22: loss: 0.877192, mix_dice: 1.396271, mix_ce: 0.358113
  0%|                                 | 2/910 [00:03<27:54,  1.84s/it]iteration 23: loss: 0.894348, mix_dice: 1.367179, mix_ce: 0.421517
iteration 24: loss: 0.930363, mix_dice: 1.386666, mix_ce: 0.474061
iteration 25: loss: 0.910947, mix_dice: 1.394539, mix_ce: 0.427355
iteration 26: loss: 0.907965, mix_dice: 1.406022, mix_ce: 0.409908
iteration 27: loss: 0.896243, mix_dice: 1.295694, mix_ce: 0.496793
iteration 28: loss: 0.966636, mix_dice: 1.361161, mix_ce: 0.572111
iteration 29: loss: 0.847252, mix_dice: 1.372754, mix_ce: 0.321750
iteration 30: loss: 0.841910, mix_dice: 1.312643, mix_ce: 0.371176
iteration 31: loss: 0.778418, mix_dice: 1.309568, mix_ce: 0.247268
iteration 32: loss: 0.911446, mix_dice: 1.438920, mix_ce: 0.383972
iteration 33: loss: 0.887999, mix_dice: 1.421031, mix_ce: 0.354966
  0%|                                 | 3/910 [00:04<23:32,  1.56s/it]iteration 34: loss: 0.900410, mix_dice: 1.443273, mix_ce: 0.357546
iteration 35: loss: 0.936932, mix_dice: 1.360743, mix_ce: 0.513121
iteration 36: loss: 0.862514, mix_dice: 1.345801, mix_ce: 0.379228
iteration 37: loss: 0.831617, mix_dice: 1.329689, mix_ce: 0.333545
iteration 38: loss: 0.940015, mix_dice: 1.325351, mix_ce: 0.554680
iteration 39: loss: 0.910995, mix_dice: 1.323514, mix_ce: 0.498477
iteration 40: loss: 0.940228, mix_dice: 1.398580, mix_ce: 0.481875
iteration 41: loss: 1.072817, mix_dice: 1.378747, mix_ce: 0.766888
iteration 42: loss: 0.907948, mix_dice: 1.346873, mix_ce: 0.469023
iteration 43: loss: 0.847113, mix_dice: 1.349385, mix_ce: 0.344841
iteration 44: loss: 0.876229, mix_dice: 1.362907, mix_ce: 0.389551
  0%|▏                                | 4/910 [00:06<22:45,  1.51s/it]iteration 45: loss: 0.858151, mix_dice: 1.291086, mix_ce: 0.425216
iteration 46: loss: 0.920851, mix_dice: 1.383094, mix_ce: 0.458609
iteration 47: loss: 0.927584, mix_dice: 1.392425, mix_ce: 0.462744
iteration 48: loss: 0.908905, mix_dice: 1.353733, mix_ce: 0.464076
iteration 49: loss: 0.924057, mix_dice: 1.301537, mix_ce: 0.546578
iteration 50: loss: 0.864767, mix_dice: 1.360103, mix_ce: 0.369430
iteration 51: loss: 0.861929, mix_dice: 1.330679, mix_ce: 0.393178
iteration 52: loss: 0.841986, mix_dice: 1.320416, mix_ce: 0.363556
iteration 53: loss: 0.852051, mix_dice: 1.323819, mix_ce: 0.380282
iteration 54: loss: 0.865081, mix_dice: 1.334700, mix_ce: 0.395462
iteration 55: loss: 0.907937, mix_dice: 1.394135, mix_ce: 0.421739
  1%|▏                                | 5/910 [00:07<20:57,  1.39s/it]iteration 56: loss: 0.832796, mix_dice: 1.270226, mix_ce: 0.395365
iteration 57: loss: 0.827957, mix_dice: 1.309542, mix_ce: 0.346372
iteration 58: loss: 0.857252, mix_dice: 1.401444, mix_ce: 0.313061
iteration 59: loss: 0.806740, mix_dice: 1.313343, mix_ce: 0.300136
iteration 60: loss: 0.873139, mix_dice: 1.367209, mix_ce: 0.379069
iteration 61: loss: 0.860621, mix_dice: 1.335917, mix_ce: 0.385325
iteration 62: loss: 0.909490, mix_dice: 1.347445, mix_ce: 0.471536
iteration 63: loss: 0.845220, mix_dice: 1.329015, mix_ce: 0.361424
iteration 64: loss: 0.789512, mix_dice: 1.274549, mix_ce: 0.304475
iteration 65: loss: 0.815755, mix_dice: 1.302051, mix_ce: 0.329458
iteration 66: loss: 0.802216, mix_dice: 1.236451, mix_ce: 0.367981
  1%|▏                                | 6/910 [00:08<20:04,  1.33s/it]iteration 67: loss: 0.835976, mix_dice: 1.359007, mix_ce: 0.312945
iteration 68: loss: 0.795145, mix_dice: 1.272603, mix_ce: 0.317687
iteration 69: loss: 0.811413, mix_dice: 1.303085, mix_ce: 0.319742
iteration 70: loss: 0.880602, mix_dice: 1.324278, mix_ce: 0.436927
iteration 71: loss: 0.777197, mix_dice: 1.281619, mix_ce: 0.272775
iteration 72: loss: 0.842275, mix_dice: 1.356316, mix_ce: 0.328234
iteration 73: loss: 0.872457, mix_dice: 1.376781, mix_ce: 0.368133
iteration 74: loss: 0.833581, mix_dice: 1.338937, mix_ce: 0.328225
iteration 75: loss: 0.888415, mix_dice: 1.408945, mix_ce: 0.367885
iteration 76: loss: 0.832441, mix_dice: 1.371967, mix_ce: 0.292916
iteration 77: loss: 0.849864, mix_dice: 1.381805, mix_ce: 0.317924
  1%|▎                                | 7/910 [00:10<19:41,  1.31s/it]iteration 78: loss: 0.820811, mix_dice: 1.326558, mix_ce: 0.315063
iteration 79: loss: 0.874837, mix_dice: 1.360046, mix_ce: 0.389628
iteration 80: loss: 0.792959, mix_dice: 1.296054, mix_ce: 0.289864
iteration 81: loss: 0.826034, mix_dice: 1.315301, mix_ce: 0.336767
iteration 82: loss: 0.876503, mix_dice: 1.313844, mix_ce: 0.439162
iteration 83: loss: 0.837801, mix_dice: 1.316814, mix_ce: 0.358787
iteration 84: loss: 0.771669, mix_dice: 1.272115, mix_ce: 0.271223
iteration 85: loss: 0.890787, mix_dice: 1.379153, mix_ce: 0.402422
iteration 86: loss: 0.797176, mix_dice: 1.238403, mix_ce: 0.355950
iteration 87: loss: 0.843045, mix_dice: 1.423522, mix_ce: 0.262569
iteration 88: loss: 0.851628, mix_dice: 1.330891, mix_ce: 0.372364
  1%|▎                                | 8/910 [00:11<19:08,  1.27s/it]iteration 89: loss: 0.942551, mix_dice: 1.387022, mix_ce: 0.498080
iteration 90: loss: 0.776225, mix_dice: 1.236270, mix_ce: 0.316180
iteration 91: loss: 0.856627, mix_dice: 1.295704, mix_ce: 0.417551
iteration 92: loss: 0.778419, mix_dice: 1.266909, mix_ce: 0.289929
iteration 93: loss: 0.797078, mix_dice: 1.290397, mix_ce: 0.303758
