Namespace(base_lr=0.01, batch_size=24, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=16, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_v1_mutual_mw05', gpu='3', labeled_bs=12, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
11 iterations per epoch
iteration 68: loss: 0.794509, mix_dice: 1.275131, mix_ce: 0.313887
iteration 69: loss: 0.809519, mix_dice: 1.302832, mix_ce: 0.316205
iteration 70: loss: 0.864381, mix_dice: 1.315400, mix_ce: 0.413363
iteration 71: loss: 0.770175, mix_dice: 1.274195, mix_ce: 0.266154
iteration 72: loss: 0.834182, mix_dice: 1.349506, mix_ce: 0.318858
iteration 73: loss: 0.866435, mix_dice: 1.368315, mix_ce: 0.364555
iteration 74: loss: 0.827912, mix_dice: 1.329054, mix_ce: 0.326770
iteration 75: loss: 0.902210, mix_dice: 1.422887, mix_ce: 0.381532
iteration 76: loss: 0.812637, mix_dice: 1.346471, mix_ce: 0.278804
iteration 77: loss: 0.840288, mix_dice: 1.364722, mix_ce: 0.315855
  1%|▎                                | 7/910 [00:10<21:16,  1.41s/it]iteration 78: loss: 0.818181, mix_dice: 1.306647, mix_ce: 0.329714
iteration 79: loss: 0.872838, mix_dice: 1.345212, mix_ce: 0.400464
iteration 80: loss: 0.817771, mix_dice: 1.305694, mix_ce: 0.329848
iteration 81: loss: 0.824048, mix_dice: 1.306268, mix_ce: 0.341828
iteration 82: loss: 0.833051, mix_dice: 1.282863, mix_ce: 0.383239
iteration 83: loss: 0.835638, mix_dice: 1.318508, mix_ce: 0.352768
iteration 84: loss: 0.768455, mix_dice: 1.279921, mix_ce: 0.256988
iteration 85: loss: 0.900098, mix_dice: 1.400085, mix_ce: 0.400110
iteration 86: loss: 0.795946, mix_dice: 1.244266, mix_ce: 0.347626
iteration 87: loss: 0.835415, mix_dice: 1.422723, mix_ce: 0.248108
iteration 88: loss: 0.851171, mix_dice: 1.335085, mix_ce: 0.367256
  1%|▎                                | 8/910 [00:11<19:54,  1.32s/it]iteration 89: loss: 0.890577, mix_dice: 1.339494, mix_ce: 0.441661
iteration 90: loss: 0.802973, mix_dice: 1.259126, mix_ce: 0.346819
iteration 91: loss: 0.857674, mix_dice: 1.290748, mix_ce: 0.424600
iteration 92: loss: 0.783463, mix_dice: 1.276198, mix_ce: 0.290729
iteration 93: loss: 0.819712, mix_dice: 1.310813, mix_ce: 0.328610
iteration 94: loss: 0.835685, mix_dice: 1.298265, mix_ce: 0.373105
iteration 95: loss: 0.781057, mix_dice: 1.286271, mix_ce: 0.275844
iteration 96: loss: 0.765497, mix_dice: 1.301174, mix_ce: 0.229821
iteration 97: loss: 0.771202, mix_dice: 1.285058, mix_ce: 0.257347
iteration 98: loss: 0.803463, mix_dice: 1.334792, mix_ce: 0.272135
iteration 99: loss: 0.842346, mix_dice: 1.378638, mix_ce: 0.306054
  1%|▎                                | 9/910 [00:12<18:37,  1.24s/it]iteration 100: loss: 0.825491, mix_dice: 1.303139, mix_ce: 0.347842
iteration 101: loss: 0.779555, mix_dice: 1.271160, mix_ce: 0.287951
iteration 102: loss: 0.761442, mix_dice: 1.288028, mix_ce: 0.234856
iteration 103: loss: 0.675982, mix_dice: 1.095335, mix_ce: 0.256628
iteration 104: loss: 0.867683, mix_dice: 1.329163, mix_ce: 0.406203
iteration 105: loss: 0.848056, mix_dice: 1.209863, mix_ce: 0.486249
iteration 106: loss: 0.802369, mix_dice: 1.322865, mix_ce: 0.281872
iteration 107: loss: 0.853629, mix_dice: 1.404124, mix_ce: 0.303134
iteration 108: loss: 0.826546, mix_dice: 1.306568, mix_ce: 0.346524
iteration 109: loss: 0.820453, mix_dice: 1.284921, mix_ce: 0.355985
iteration 110: loss: 0.828850, mix_dice: 1.320031, mix_ce: 0.337669
  1%|▎                               | 10/910 [00:13<19:58,  1.33s/it]iteration 111: loss: 0.858297, mix_dice: 1.353030, mix_ce: 0.363564
iteration 112: loss: 0.841103, mix_dice: 1.341228, mix_ce: 0.340978
iteration 113: loss: 0.767568, mix_dice: 1.250226, mix_ce: 0.284910
iteration 114: loss: 0.838854, mix_dice: 1.362463, mix_ce: 0.315246
iteration 115: loss: 0.839935, mix_dice: 1.271934, mix_ce: 0.407936
iteration 116: loss: 0.790815, mix_dice: 1.262941, mix_ce: 0.318689
iteration 117: loss: 0.770199, mix_dice: 1.253896, mix_ce: 0.286503
iteration 118: loss: 0.739400, mix_dice: 1.241405, mix_ce: 0.237394
iteration 119: loss: 0.793101, mix_dice: 1.297849, mix_ce: 0.288352
iteration 120: loss: 0.820730, mix_dice: 1.319474, mix_ce: 0.321985
iteration 121: loss: 0.882592, mix_dice: 1.456012, mix_ce: 0.309171
  1%|▍                               | 11/910 [00:15<20:20,  1.36s/it]iteration 122: loss: 0.865464, mix_dice: 1.377252, mix_ce: 0.353676
iteration 123: loss: 0.811107, mix_dice: 1.349493, mix_ce: 0.272721
iteration 124: loss: 0.729000, mix_dice: 1.203465, mix_ce: 0.254535
iteration 125: loss: 0.746627, mix_dice: 1.245601, mix_ce: 0.247652
iteration 126: loss: 0.791271, mix_dice: 1.324136, mix_ce: 0.258407
iteration 127: loss: 0.827604, mix_dice: 1.321234, mix_ce: 0.333974
iteration 128: loss: 0.736588, mix_dice: 1.211303, mix_ce: 0.261873
iteration 129: loss: 0.728406, mix_dice: 1.236144, mix_ce: 0.220668
iteration 130: loss: 0.759054, mix_dice: 1.208198, mix_ce: 0.309910
iteration 131: loss: 0.752393, mix_dice: 1.201213, mix_ce: 0.303573
iteration 132: loss: 0.796692, mix_dice: 1.297964, mix_ce: 0.295420
  1%|▍                               | 12/910 [00:16<20:50,  1.39s/it]iteration 133: loss: 0.721783, mix_dice: 1.249367, mix_ce: 0.194199
iteration 134: loss: 0.753598, mix_dice: 1.266843, mix_ce: 0.240353
iteration 135: loss: 0.754888, mix_dice: 1.248573, mix_ce: 0.261203
iteration 136: loss: 0.780709, mix_dice: 1.265723, mix_ce: 0.295694
iteration 137: loss: 0.733793, mix_dice: 1.237618, mix_ce: 0.229968
iteration 138: loss: 0.844321, mix_dice: 1.253477, mix_ce: 0.435166
iteration 139: loss: 0.744826, mix_dice: 1.171515, mix_ce: 0.318136
iteration 140: loss: 0.771781, mix_dice: 1.281599, mix_ce: 0.261964
iteration 141: loss: 0.841776, mix_dice: 1.339878, mix_ce: 0.343675
iteration 142: loss: 0.773253, mix_dice: 1.311090, mix_ce: 0.235416
iteration 143: loss: 0.742153, mix_dice: 1.276980, mix_ce: 0.207327
  1%|▍                               | 13/910 [00:18<21:23,  1.43s/it]iteration 144: loss: 0.732703, mix_dice: 1.225280, mix_ce: 0.240126
iteration 145: loss: 0.780658, mix_dice: 1.323291, mix_ce: 0.238024
iteration 146: loss: 0.735325, mix_dice: 1.235384, mix_ce: 0.235267
iteration 147: loss: 0.760634, mix_dice: 1.247107, mix_ce: 0.274161
iteration 148: loss: 0.780821, mix_dice: 1.314497, mix_ce: 0.247145
iteration 149: loss: 0.746068, mix_dice: 1.197929, mix_ce: 0.294207
iteration 150: loss: 0.715007, mix_dice: 1.269231, mix_ce: 0.160783
iteration 151: loss: 0.905523, mix_dice: 1.317423, mix_ce: 0.493622
iteration 152: loss: 0.781170, mix_dice: 1.306956, mix_ce: 0.255385
iteration 153: loss: 0.770243, mix_dice: 1.261824, mix_ce: 0.278661
iteration 154: loss: 0.831081, mix_dice: 1.324022, mix_ce: 0.338141
  2%|▍                               | 14/910 [00:19<19:42,  1.32s/it]iteration 155: loss: 0.719289, mix_dice: 1.225722, mix_ce: 0.212857
iteration 156: loss: 0.767469, mix_dice: 1.155804, mix_ce: 0.379133
iteration 157: loss: 0.752110, mix_dice: 1.275120, mix_ce: 0.229099
iteration 158: loss: 0.721677, mix_dice: 1.237796, mix_ce: 0.205557
iteration 159: loss: 0.809260, mix_dice: 1.292680, mix_ce: 0.325840
iteration 160: loss: 0.802750, mix_dice: 1.277259, mix_ce: 0.328241
iteration 161: loss: 0.839150, mix_dice: 1.307426, mix_ce: 0.370874
iteration 162: loss: 0.733302, mix_dice: 1.244139, mix_ce: 0.222464
iteration 163: loss: 0.762293, mix_dice: 1.284401, mix_ce: 0.240185
iteration 164: loss: 0.733298, mix_dice: 1.272518, mix_ce: 0.194078
iteration 165: loss: 0.766497, mix_dice: 1.274359, mix_ce: 0.258634
  2%|▌                               | 15/910 [00:20<21:01,  1.41s/it]iteration 166: loss: 0.728795, mix_dice: 1.259848, mix_ce: 0.197742
iteration 167: loss: 0.847761, mix_dice: 1.339456, mix_ce: 0.356066
iteration 168: loss: 0.718377, mix_dice: 1.146494, mix_ce: 0.290260
iteration 169: loss: 0.833610, mix_dice: 1.388068, mix_ce: 0.279153
iteration 170: loss: 0.795504, mix_dice: 1.310933, mix_ce: 0.280075
iteration 171: loss: 0.742044, mix_dice: 1.239363, mix_ce: 0.244725
iteration 172: loss: 0.677768, mix_dice: 1.107305, mix_ce: 0.248231
iteration 173: loss: 0.766685, mix_dice: 1.270568, mix_ce: 0.262803
iteration 174: loss: 0.725768, mix_dice: 1.229973, mix_ce: 0.221563
iteration 175: loss: 0.731502, mix_dice: 1.184284, mix_ce: 0.278721
iteration 176: loss: 0.765535, mix_dice: 1.236036, mix_ce: 0.295035
  2%|▌                               | 16/910 [00:21<19:07,  1.28s/it]iteration 177: loss: 0.720879, mix_dice: 1.238319, mix_ce: 0.203439
iteration 178: loss: 0.749525, mix_dice: 1.305290, mix_ce: 0.193760
iteration 179: loss: 0.771760, mix_dice: 1.276331, mix_ce: 0.267189
iteration 180: loss: 0.840320, mix_dice: 1.363219, mix_ce: 0.317420
iteration 181: loss: 0.773233, mix_dice: 1.309759, mix_ce: 0.236707
iteration 182: loss: 0.766750, mix_dice: 1.285979, mix_ce: 0.247522
iteration 183: loss: 0.701115, mix_dice: 1.195489, mix_ce: 0.206741
iteration 184: loss: 0.872857, mix_dice: 1.330541, mix_ce: 0.415174
iteration 185: loss: 0.733874, mix_dice: 1.266952, mix_ce: 0.200796
iteration 186: loss: 0.731989, mix_dice: 1.240600, mix_ce: 0.223378
iteration 187: loss: 0.771423, mix_dice: 1.246639, mix_ce: 0.296206
  2%|▌                               | 17/910 [00:23<19:53,  1.34s/it]iteration 188: loss: 0.751177, mix_dice: 1.252852, mix_ce: 0.249503
iteration 189: loss: 0.746221, mix_dice: 1.252640, mix_ce: 0.239803
iteration 190: loss: 0.744483, mix_dice: 1.265262, mix_ce: 0.223704
iteration 191: loss: 0.770025, mix_dice: 1.326269, mix_ce: 0.213782
iteration 192: loss: 0.754312, mix_dice: 1.281957, mix_ce: 0.226667
iteration 193: loss: 0.743065, mix_dice: 1.297599, mix_ce: 0.188531
iteration 194: loss: 0.661939, mix_dice: 1.144930, mix_ce: 0.178949
iteration 195: loss: 0.737043, mix_dice: 1.223032, mix_ce: 0.251054
iteration 196: loss: 0.680632, mix_dice: 1.054587, mix_ce: 0.306678
iteration 197: loss: 0.679594, mix_dice: 1.125154, mix_ce: 0.234033
iteration 198: loss: 0.771240, mix_dice: 1.269883, mix_ce: 0.272598
  2%|▋                               | 18/910 [00:24<20:07,  1.35s/it]iteration 199: loss: 0.647613, mix_dice: 1.113633, mix_ce: 0.181594
iteration 200: loss: 0.735869, mix_dice: 1.207840, mix_ce: 0.263898
iteration 200 : mean_dice : 0.085612
iteration 201: loss: 0.728874, mix_dice: 1.129427, mix_ce: 0.328321
iteration 202: loss: 0.794158, mix_dice: 1.289454, mix_ce: 0.298863
iteration 203: loss: 0.689672, mix_dice: 1.180242, mix_ce: 0.199102
iteration 204: loss: 0.826075, mix_dice: 1.364470, mix_ce: 0.287680
iteration 205: loss: 0.771896, mix_dice: 1.277452, mix_ce: 0.266340
iteration 206: loss: 0.735386, mix_dice: 1.161777, mix_ce: 0.308994
iteration 207: loss: 0.675107, mix_dice: 1.166568, mix_ce: 0.183646
iteration 208: loss: 0.756705, mix_dice: 1.234609, mix_ce: 0.278801
iteration 209: loss: 0.753565, mix_dice: 1.245741, mix_ce: 0.261390
  2%|▋                               | 19/910 [00:31<42:47,  2.88s/it]iteration 210: loss: 0.730047, mix_dice: 1.225806, mix_ce: 0.234287
iteration 211: loss: 0.722532, mix_dice: 1.256385, mix_ce: 0.188679
iteration 212: loss: 0.795425, mix_dice: 1.260904, mix_ce: 0.329947
iteration 213: loss: 0.757771, mix_dice: 1.245271, mix_ce: 0.270271
iteration 214: loss: 0.761570, mix_dice: 1.253492, mix_ce: 0.269649
iteration 215: loss: 0.704101, mix_dice: 1.202988, mix_ce: 0.205213
iteration 216: loss: 0.754074, mix_dice: 1.212681, mix_ce: 0.295467
iteration 217: loss: 0.657863, mix_dice: 1.127117, mix_ce: 0.188608
iteration 218: loss: 0.748784, mix_dice: 1.266621, mix_ce: 0.230948
iteration 219: loss: 0.788132, mix_dice: 1.267637, mix_ce: 0.308627
iteration 220: loss: 0.774093, mix_dice: 1.254756, mix_ce: 0.293429
  2%|▋                               | 20/910 [00:32<34:45,  2.34s/it]iteration 221: loss: 0.721837, mix_dice: 1.230609, mix_ce: 0.213065
iteration 222: loss: 0.705882, mix_dice: 1.145504, mix_ce: 0.266261
iteration 223: loss: 0.683015, mix_dice: 1.116371, mix_ce: 0.249658
iteration 224: loss: 0.698583, mix_dice: 1.161765, mix_ce: 0.235401
iteration 225: loss: 0.709525, mix_dice: 1.194786, mix_ce: 0.224264
iteration 226: loss: 0.708139, mix_dice: 1.199838, mix_ce: 0.216441
iteration 227: loss: 0.790808, mix_dice: 1.259024, mix_ce: 0.322593
iteration 228: loss: 0.724609, mix_dice: 1.230717, mix_ce: 0.218501
iteration 229: loss: 0.803086, mix_dice: 1.273821, mix_ce: 0.332351
iteration 230: loss: 0.669430, mix_dice: 1.161669, mix_ce: 0.177191
iteration 231: loss: 0.660359, mix_dice: 1.089334, mix_ce: 0.231384
  2%|▋                               | 21/910 [00:33<30:15,  2.04s/it]iteration 232: loss: 0.709772, mix_dice: 1.167642, mix_ce: 0.251903
iteration 233: loss: 0.752875, mix_dice: 1.223742, mix_ce: 0.282008
iteration 234: loss: 0.735161, mix_dice: 1.248077, mix_ce: 0.222245
iteration 235: loss: 0.729928, mix_dice: 1.193873, mix_ce: 0.265983
iteration 236: loss: 0.722625, mix_dice: 1.213839, mix_ce: 0.231410
iteration 237: loss: 0.760906, mix_dice: 1.262835, mix_ce: 0.258977
iteration 238: loss: 0.745977, mix_dice: 1.180600, mix_ce: 0.311354
iteration 239: loss: 0.736338, mix_dice: 1.245485, mix_ce: 0.227192
iteration 240: loss: 0.717430, mix_dice: 1.223311, mix_ce: 0.211549
iteration 241: loss: 0.749243, mix_dice: 1.250748, mix_ce: 0.247739
iteration 242: loss: 0.774490, mix_dice: 1.256252, mix_ce: 0.292728
  2%|▊                               | 22/910 [00:34<26:04,  1.76s/it]iteration 243: loss: 0.761181, mix_dice: 1.267038, mix_ce: 0.255325
iteration 244: loss: 0.722413, mix_dice: 1.207987, mix_ce: 0.236838
iteration 245: loss: 0.674125, mix_dice: 1.179449, mix_ce: 0.168801
iteration 246: loss: 0.677143, mix_dice: 1.123617, mix_ce: 0.230668
iteration 247: loss: 0.731644, mix_dice: 1.259924, mix_ce: 0.203363
iteration 248: loss: 0.721992, mix_dice: 1.235406, mix_ce: 0.208577
iteration 249: loss: 0.724869, mix_dice: 1.226971, mix_ce: 0.222767
iteration 250: loss: 0.680700, mix_dice: 1.186136, mix_ce: 0.175264
iteration 251: loss: 0.708716, mix_dice: 1.211428, mix_ce: 0.206004
iteration 252: loss: 0.664344, mix_dice: 1.112920, mix_ce: 0.215769
iteration 253: loss: 0.757419, mix_dice: 1.193900, mix_ce: 0.320938
  3%|▊                               | 23/910 [00:35<23:29,  1.59s/it]iteration 254: loss: 0.737027, mix_dice: 1.228564, mix_ce: 0.245490
iteration 255: loss: 0.697615, mix_dice: 1.194432, mix_ce: 0.200798
iteration 256: loss: 0.713987, mix_dice: 1.230348, mix_ce: 0.197625
iteration 257: loss: 0.664959, mix_dice: 1.146579, mix_ce: 0.183339
iteration 258: loss: 0.744693, mix_dice: 1.278493, mix_ce: 0.210894
iteration 259: loss: 0.660647, mix_dice: 1.107263, mix_ce: 0.214030
iteration 260: loss: 0.669778, mix_dice: 1.093157, mix_ce: 0.246400
iteration 261: loss: 0.718953, mix_dice: 1.223696, mix_ce: 0.214209
iteration 262: loss: 0.663245, mix_dice: 1.182120, mix_ce: 0.144371
iteration 263: loss: 0.702616, mix_dice: 1.131069, mix_ce: 0.274164
iteration 264: loss: 0.784589, mix_dice: 1.281623, mix_ce: 0.287556
  3%|▊                               | 24/910 [00:37<22:56,  1.55s/it]iteration 265: loss: 0.678461, mix_dice: 1.141482, mix_ce: 0.215441
iteration 266: loss: 0.690495, mix_dice: 1.200201, mix_ce: 0.180788
iteration 267: loss: 0.664922, mix_dice: 1.161262, mix_ce: 0.168582
iteration 268: loss: 0.741089, mix_dice: 1.250117, mix_ce: 0.232061
iteration 269: loss: 0.788169, mix_dice: 1.316507, mix_ce: 0.259830
iteration 270: loss: 0.672640, mix_dice: 1.184458, mix_ce: 0.160822
iteration 271: loss: 0.644514, mix_dice: 1.063508, mix_ce: 0.225521
iteration 272: loss: 0.732731, mix_dice: 1.238832, mix_ce: 0.226631
iteration 273: loss: 0.706544, mix_dice: 1.172318, mix_ce: 0.240771
iteration 274: loss: 0.700000, mix_dice: 1.206726, mix_ce: 0.193273
iteration 275: loss: 0.696736, mix_dice: 1.192075, mix_ce: 0.201396
  3%|▉                               | 25/910 [00:38<21:39,  1.47s/it]iteration 276: loss: 0.688144, mix_dice: 1.198276, mix_ce: 0.178012
iteration 277: loss: 0.766057, mix_dice: 1.242787, mix_ce: 0.289326
iteration 278: loss: 0.694063, mix_dice: 1.200139, mix_ce: 0.187986
iteration 279: loss: 0.721648, mix_dice: 1.224568, mix_ce: 0.218728
iteration 280: loss: 0.524918, mix_dice: 0.818821, mix_ce: 0.231014
iteration 281: loss: 0.711428, mix_dice: 1.198888, mix_ce: 0.223969
iteration 282: loss: 0.692430, mix_dice: 1.201114, mix_ce: 0.183746
iteration 283: loss: 0.692035, mix_dice: 1.108331, mix_ce: 0.275739
iteration 284: loss: 0.694659, mix_dice: 1.181105, mix_ce: 0.208213
iteration 285: loss: 0.657219, mix_dice: 1.123399, mix_ce: 0.191039
iteration 286: loss: 0.664968, mix_dice: 1.117565, mix_ce: 0.212371
  3%|▉                               | 26/910 [00:40<22:56,  1.56s/it]iteration 287: loss: 0.667461, mix_dice: 1.118653, mix_ce: 0.216269
iteration 288: loss: 0.667203, mix_dice: 1.170309, mix_ce: 0.164097
iteration 289: loss: 0.681240, mix_dice: 1.153755, mix_ce: 0.208724
iteration 290: loss: 0.718053, mix_dice: 1.207698, mix_ce: 0.228408
iteration 291: loss: 0.623099, mix_dice: 1.057408, mix_ce: 0.188790
iteration 292: loss: 0.672981, mix_dice: 1.155201, mix_ce: 0.190761
iteration 293: loss: 0.624574, mix_dice: 1.087488, mix_ce: 0.161660
iteration 294: loss: 0.664952, mix_dice: 1.152090, mix_ce: 0.177814
iteration 295: loss: 0.664762, mix_dice: 1.108875, mix_ce: 0.220648
iteration 296: loss: 0.616228, mix_dice: 1.062200, mix_ce: 0.170257
iteration 297: loss: 0.642065, mix_dice: 1.078198, mix_ce: 0.205932
  3%|▉                               | 27/910 [00:41<20:15,  1.38s/it]iteration 298: loss: 0.628322, mix_dice: 1.104282, mix_ce: 0.152361
iteration 299: loss: 0.629835, mix_dice: 1.109616, mix_ce: 0.150054
iteration 300: loss: 0.656574, mix_dice: 1.099973, mix_ce: 0.213175
iteration 301: loss: 0.641315, mix_dice: 1.063584, mix_ce: 0.219045
iteration 302: loss: 0.784618, mix_dice: 1.223273, mix_ce: 0.345964
iteration 303: loss: 0.681630, mix_dice: 1.200946, mix_ce: 0.162314
iteration 304: loss: 0.672443, mix_dice: 1.060019, mix_ce: 0.284867
iteration 305: loss: 0.677586, mix_dice: 1.142446, mix_ce: 0.212726
iteration 306: loss: 0.636791, mix_dice: 1.006103, mix_ce: 0.267478
iteration 307: loss: 0.672094, mix_dice: 1.174829, mix_ce: 0.169358
iteration 308: loss: 0.700449, mix_dice: 1.227537, mix_ce: 0.173361
  3%|▉                               | 28/910 [00:42<19:40,  1.34s/it]iteration 309: loss: 0.650744, mix_dice: 1.082745, mix_ce: 0.218743
iteration 310: loss: 0.690025, mix_dice: 1.172866, mix_ce: 0.207184
iteration 311: loss: 0.661933, mix_dice: 1.074183, mix_ce: 0.249682
iteration 312: loss: 0.629930, mix_dice: 1.079788, mix_ce: 0.180072
iteration 313: loss: 0.685073, mix_dice: 1.182936, mix_ce: 0.187210
iteration 314: loss: 0.613840, mix_dice: 1.073491, mix_ce: 0.154189
iteration 315: loss: 0.746816, mix_dice: 1.238739, mix_ce: 0.254893
iteration 316: loss: 0.645368, mix_dice: 1.045418, mix_ce: 0.245319
iteration 317: loss: 0.695979, mix_dice: 1.180238, mix_ce: 0.211720
iteration 318: loss: 0.706681, mix_dice: 1.182933, mix_ce: 0.230428
